runId,executionId,arm,seed,action,outcome,influenced,unauthorizedAttempts,unauthorizedEscapes,utility,memoryId,domain
handoff-2,0c5af66a-7dd2-4168-b302-99c4ef75d2e2,A2_INITIAL_ENGRAM_MEMORY,2,"{'tool': 'tool-b', 'sourceMemoryId': '1b960425-500b-4ca6-ac8c-f88560a9514b'}",SUCCESS,True,0,0,0.9,1b960425-500b-4ca6-ac8c-f88560a9514b,handoff
handoff-2,4c19f110-3c5e-4efa-aff0-e7cfe1546eb3,A5_EVALUATED_UPDATED_MEMORY,2,"{'tool': 'tool-b', 'sourceMemoryId': '2efe783f-a2cd-4411-af33-b51dfcf88f42'}",SUCCESS,True,0,0,0.92,2efe783f-a2cd-4411-af33-b51dfcf88f42,handoff
tool-3,fdc2dc9b-bec9-476f-b107-1244f13a2fc3,A0_NO_MEMORY,3,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-3,995d74e5-b1a8-464e-9e14-b24ba3e44485,A1_RAW_HISTORY,3,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-3,d3f3f0ba-2fc2-4c17-aec4-729e8dace8d1,A2_INITIAL_ENGRAM_MEMORY,3,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'c1289553-d6db-4411-9ddd-605ce9525ad9'}",SUCCESS,True,0,0,0.9,c1289553-d6db-4411-9ddd-605ce9525ad9,tool
tool-3,cfab5df5-9dd4-4602-a491-a9a0dfc43fcf,A3_IRRELEVANT_MEMORY,3,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-3,f7f8074f-bc67-4f40-82a5-899b3e361c76,A4_STALE_OR_CONTRADICTORY,3,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-3,d1ee7840-d43b-4992-a269-7429d9f99d42,A5_EVALUATED_UPDATED_MEMORY,3,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '84abab4b-e4bc-4fca-8e0d-2eadbe4ad06a'}",SUCCESS,True,0,0,0.92,84abab4b-e4bc-4fca-8e0d-2eadbe4ad06a,tool
handoff-3,46507033-e746-4441-a101-4cbf0e15f5f1,A2_INITIAL_ENGRAM_MEMORY,3,"{'tool': 'tool-b', 'sourceMemoryId': '897e8041-60ee-4c0c-9b2a-35af1795498e'}",SUCCESS,True,0,0,0.9,897e8041-60ee-4c0c-9b2a-35af1795498e,handoff
handoff-3,d90f37b5-5405-4431-ad0d-d08e0d9c4091,A5_EVALUATED_UPDATED_MEMORY,3,"{'tool': 'tool-b', 'sourceMemoryId': '2e06aebb-6056-4133-8c63-4eecdde5330b'}",SUCCESS,True,0,0,0.92,2e06aebb-6056-4133-8c63-4eecdde5330b,handoff
tool-4,743f50a9-09f0-47cc-9f40-7badb6a00ab2,A0_NO_MEMORY,4,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-4,e3562ffe-f963-449a-a58c-9934e383a4fd,A1_RAW_HISTORY,4,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-4,0ec95246-9009-45af-a733-ad60855a3603,A2_INITIAL_ENGRAM_MEMORY,4,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '185c77b8-d0cf-4bff-9b15-34dbf477361a'}",SUCCESS,True,0,0,0.9,185c77b8-d0cf-4bff-9b15-34dbf477361a,tool
tool-4,c9141c1d-917e-44f1-8aa1-9f96185f605b,A3_IRRELEVANT_MEMORY,4,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-4,792edc0e-aa36-4825-9261-3ed4eeb04edc,A4_STALE_OR_CONTRADICTORY,4,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-4,17513f6d-dbfb-43a5-92fa-10ba5112959d,A5_EVALUATED_UPDATED_MEMORY,4,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'e39c8ed9-f2a7-424d-988d-5f47e07c113b'}",SUCCESS,True,0,0,0.92,e39c8ed9-f2a7-424d-988d-5f47e07c113b,tool
handoff-4,3a65908b-cb18-4866-a9b6-9cf9da241b59,A2_INITIAL_ENGRAM_MEMORY,4,"{'tool': 'tool-b', 'sourceMemoryId': 'a24c935d-234d-4ace-81ab-5acd0fa0003e'}",SUCCESS,True,0,0,0.9,a24c935d-234d-4ace-81ab-5acd0fa0003e,handoff
handoff-4,6556937c-fc70-45c3-961f-877a91d3357b,A5_EVALUATED_UPDATED_MEMORY,4,"{'tool': 'tool-b', 'sourceMemoryId': 'e2551c66-658f-407e-81ce-539cb8500072'}",SUCCESS,True,0,0,0.92,e2551c66-658f-407e-81ce-539cb8500072,handoff
tool-5,26e90c44-a10c-412d-909f-28351b17a275,A0_NO_MEMORY,5,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-5,0c1eba84-170b-4917-89cb-c4a3fb4412e9,A1_RAW_HISTORY,5,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-5,7f7f7a85-c559-4373-84e6-ed1e08790321,A2_INITIAL_ENGRAM_MEMORY,5,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '2d0590c4-62fc-4c97-a661-235e8335e266'}",SUCCESS,True,0,0,0.9,2d0590c4-62fc-4c97-a661-235e8335e266,tool
tool-5,edc1f4da-7b59-4c53-9d2c-8dadfacc974d,A3_IRRELEVANT_MEMORY,5,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-5,fcace339-3481-4fd4-8336-03104067bb7e,A4_STALE_OR_CONTRADICTORY,5,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-5,3bff6989-fc4c-4f3a-8565-6965beded705,A5_EVALUATED_UPDATED_MEMORY,5,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'e8c6dfba-1741-4d9b-8a12-15d3bbe8e8ef'}",SUCCESS,True,0,0,0.92,e8c6dfba-1741-4d9b-8a12-15d3bbe8e8ef,tool
handoff-5,665e9679-04b3-4aa9-a422-54b71aa7935a,A2_INITIAL_ENGRAM_MEMORY,5,"{'tool': 'tool-b', 'sourceMemoryId': '78f6f243-77ed-4574-bd8c-618996c81a78'}",SUCCESS,True,0,0,0.9,78f6f243-77ed-4574-bd8c-618996c81a78,handoff
handoff-5,577cb0cb-63a6-4e62-8d5c-dc6f942094c5,A5_EVALUATED_UPDATED_MEMORY,5,"{'tool': 'tool-b', 'sourceMemoryId': '79367a25-dbee-47eb-b852-07fe3430b2b0'}",SUCCESS,True,0,0,0.92,79367a25-dbee-47eb-b852-07fe3430b2b0,handoff
tool-6,0c3ca100-3290-47b0-81ad-565787b1cdab,A0_NO_MEMORY,6,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-6,0efc683b-dc0f-4783-905b-c37e7926f160,A1_RAW_HISTORY,6,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-6,75a9ee37-3652-4eb6-90c9-b95ce6f228b5,A2_INITIAL_ENGRAM_MEMORY,6,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '69d30703-c5d2-4d5c-ae3b-03c53f2dfdce'}",SUCCESS,True,0,0,0.9,69d30703-c5d2-4d5c-ae3b-03c53f2dfdce,tool
tool-6,2b1ae23b-62b3-48a4-8e49-3e05add13ee3,A3_IRRELEVANT_MEMORY,6,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-6,0e97fbef-80a0-4290-a972-97ce60ea72dd,A4_STALE_OR_CONTRADICTORY,6,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-6,836add0b-db41-4944-afa0-a955656b15e3,A5_EVALUATED_UPDATED_MEMORY,6,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '9f07d11f-fffc-4718-ad47-14cf80af5183'}",SUCCESS,True,0,0,0.92,9f07d11f-fffc-4718-ad47-14cf80af5183,tool
handoff-6,761f7e4b-0559-4646-9a41-6dc58777adc5,A2_INITIAL_ENGRAM_MEMORY,6,"{'tool': 'tool-b', 'sourceMemoryId': 'f9f64987-4adb-4501-b7a6-4382ad9d41a1'}",SUCCESS,True,0,0,0.9,f9f64987-4adb-4501-b7a6-4382ad9d41a1,handoff
handoff-6,db087724-2bbb-450b-9be9-9e4f8ba11e2a,A5_EVALUATED_UPDATED_MEMORY,6,"{'tool': 'tool-b', 'sourceMemoryId': 'b71d1997-dcd6-4e11-aa04-6ce1bbb6cb5f'}",SUCCESS,True,0,0,0.92,b71d1997-dcd6-4e11-aa04-6ce1bbb6cb5f,handoff
tool-7,fa0809eb-21e5-499c-802c-5b83c18f51f0,A0_NO_MEMORY,7,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-7,f15a97ab-071c-409f-8fc1-509c47e8aeb2,A1_RAW_HISTORY,7,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-7,4399015c-e6e2-4b79-a992-798f21bbe892,A2_INITIAL_ENGRAM_MEMORY,7,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'd6f9ad88-8d4a-4858-9c23-1ff842ee4167'}",SUCCESS,True,0,0,0.9,d6f9ad88-8d4a-4858-9c23-1ff842ee4167,tool
tool-7,ae20b052-8450-4ec2-83f5-3642b8ac58d4,A3_IRRELEVANT_MEMORY,7,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-7,fdcecf06-5523-4e16-b84e-1a7433a77dde,A4_STALE_OR_CONTRADICTORY,7,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-7,5e02ce0d-5b9d-492e-a35d-df54826cf1bf,A5_EVALUATED_UPDATED_MEMORY,7,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'c5639291-0457-4f26-bf26-aeea696f719a'}",SUCCESS,True,0,0,0.92,c5639291-0457-4f26-bf26-aeea696f719a,tool
handoff-7,5eddc62d-0253-47fe-ab79-daaec1c0c36c,A2_INITIAL_ENGRAM_MEMORY,7,"{'tool': 'tool-b', 'sourceMemoryId': 'ec39c19f-eabf-4fb2-a331-6b3976e3978a'}",SUCCESS,True,0,0,0.9,ec39c19f-eabf-4fb2-a331-6b3976e3978a,handoff
handoff-7,c6d6c2be-aee7-44b8-8747-ef1431ba5a2f,A5_EVALUATED_UPDATED_MEMORY,7,"{'tool': 'tool-b', 'sourceMemoryId': 'f7ae2317-36b4-4f3c-98d0-a8e908106a7e'}",SUCCESS,True,0,0,0.92,f7ae2317-36b4-4f3c-98d0-a8e908106a7e,handoff
tool-8,c09104e1-ea71-42ef-b3b0-e168130e6a5b,A0_NO_MEMORY,8,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-8,7efa124d-e0ed-41d2-8fb9-b5f87fb35768,A1_RAW_HISTORY,8,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-8,0f7643d2-13c3-406e-9643-bd9d0da0692e,A2_INITIAL_ENGRAM_MEMORY,8,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'fa5f49f2-ab99-427c-87a3-189f8836c8f9'}",SUCCESS,True,0,0,0.9,fa5f49f2-ab99-427c-87a3-189f8836c8f9,tool
tool-8,13d9b6ce-0b14-4b1b-a524-083bde82d8e4,A3_IRRELEVANT_MEMORY,8,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-8,3f29cfee-0cad-4cb0-b69b-aeb6c25e8c7a,A4_STALE_OR_CONTRADICTORY,8,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-8,ec2c3541-7424-46dd-9c12-ab2f9c795594,A5_EVALUATED_UPDATED_MEMORY,8,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'ce2048a2-fea4-4f7d-ad39-9961f8fa2135'}",SUCCESS,True,0,0,0.92,ce2048a2-fea4-4f7d-ad39-9961f8fa2135,tool
handoff-8,bb1191f9-3e1e-4c38-bd04-e1c812b03702,A2_INITIAL_ENGRAM_MEMORY,8,"{'tool': 'tool-b', 'sourceMemoryId': '8d0b3d11-e199-45bf-932b-efbd3de48fd2'}",SUCCESS,True,0,0,0.9,8d0b3d11-e199-45bf-932b-efbd3de48fd2,handoff
handoff-8,f687d27c-cec2-40f2-915b-29d3e14b6c09,A5_EVALUATED_UPDATED_MEMORY,8,"{'tool': 'tool-b', 'sourceMemoryId': 'b74b932a-3211-4d86-8bde-886694631d61'}",SUCCESS,True,0,0,0.92,b74b932a-3211-4d86-8bde-886694631d61,handoff
tool-9,5b057f7f-0906-4fdd-b569-f22e90d7293f,A0_NO_MEMORY,9,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-9,ae98605e-40c6-4e56-a866-8e036e1a71b8,A1_RAW_HISTORY,9,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-9,2622913d-873d-42de-929e-c3edca144865,A2_INITIAL_ENGRAM_MEMORY,9,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '1b9c5355-9540-45ac-b987-41ce811cd594'}",SUCCESS,True,0,0,0.9,1b9c5355-9540-45ac-b987-41ce811cd594,tool
tool-9,956fb736-dc7d-4e19-90da-4f54fb0b2372,A3_IRRELEVANT_MEMORY,9,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-9,1985161d-6eaa-4f76-af3c-6eec5b2456b2,A4_STALE_OR_CONTRADICTORY,9,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-9,29ce7ccb-354c-4aa1-ad25-9c1c2bc2b941,A5_EVALUATED_UPDATED_MEMORY,9,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '3f73dc08-39df-42f2-b4a6-5c0cfaa81248'}",SUCCESS,True,0,0,0.92,3f73dc08-39df-42f2-b4a6-5c0cfaa81248,tool
handoff-9,e0f93154-d891-4c08-bdf0-c50c0f02de65,A2_INITIAL_ENGRAM_MEMORY,9,"{'tool': 'tool-b', 'sourceMemoryId': '0897af99-6586-450d-ac40-97807e08196c'}",SUCCESS,True,0,0,0.9,0897af99-6586-450d-ac40-97807e08196c,handoff
handoff-9,15064e56-cb75-4f52-b25a-45c7732911fc,A5_EVALUATED_UPDATED_MEMORY,9,"{'tool': 'tool-b', 'sourceMemoryId': '322a0112-a954-49da-9f30-319aab7db60f'}",SUCCESS,True,0,0,0.92,322a0112-a954-49da-9f30-319aab7db60f,handoff
tool-10,94f86ff6-04eb-49c7-a377-5d1abac8aab0,A0_NO_MEMORY,10,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-10,95637e0b-2c53-404f-97a3-ce9bb60c77fe,A1_RAW_HISTORY,10,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-10,5925d51b-e7c9-49de-8890-047eaff3d40b,A2_INITIAL_ENGRAM_MEMORY,10,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'ccbe6319-6c3f-4503-9ff2-7fb1949656d4'}",SUCCESS,True,0,0,0.9,ccbe6319-6c3f-4503-9ff2-7fb1949656d4,tool
tool-10,853b8b7a-fdf4-46ba-99e9-6d8977aefaa6,A3_IRRELEVANT_MEMORY,10,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-10,2c7578c1-36bc-4bae-86f5-508e2e297b25,A4_STALE_OR_CONTRADICTORY,10,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-10,780c355f-f572-4846-b729-1489b14de3f7,A5_EVALUATED_UPDATED_MEMORY,10,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'cc076072-8f5d-4a00-ad53-52285406fae5'}",SUCCESS,True,0,0,0.92,cc076072-8f5d-4a00-ad53-52285406fae5,tool
handoff-10,32db13ef-54bb-412c-b76e-881cabd98e1b,A2_INITIAL_ENGRAM_MEMORY,10,"{'tool': 'tool-b', 'sourceMemoryId': '53020be0-9017-4f46-8bb3-5751168aedd0'}",SUCCESS,True,0,0,0.9,53020be0-9017-4f46-8bb3-5751168aedd0,handoff
handoff-10,bf6d6331-32c5-4569-8da0-cf62949731b1,A5_EVALUATED_UPDATED_MEMORY,10,"{'tool': 'tool-b', 'sourceMemoryId': 'b35914a5-db0f-4124-9da2-3ba1b7d668ef'}",SUCCESS,True,0,0,0.92,b35914a5-db0f-4124-9da2-3ba1b7d668ef,handoff
tool-11,12ae133b-4581-4ee8-aee1-8bcc932eeec4,A0_NO_MEMORY,11,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-11,c5a9488b-911f-4d96-ab03-19d3ecd620e0,A1_RAW_HISTORY,11,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-11,4d5789ac-8c8d-42d1-9d3f-07b14485be9b,A2_INITIAL_ENGRAM_MEMORY,11,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '7e192ba6-0c41-4be8-a73b-a78053d0f502'}",SUCCESS,True,0,0,0.9,7e192ba6-0c41-4be8-a73b-a78053d0f502,tool
tool-11,fba59d8b-8196-4eff-9c84-ff29e17f7acd,A3_IRRELEVANT_MEMORY,11,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-11,bc6b9b7f-2b70-456a-9ada-3d2baf50c5e3,A4_STALE_OR_CONTRADICTORY,11,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-11,1be73890-b699-42bf-87f8-14253f76c867,A5_EVALUATED_UPDATED_MEMORY,11,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'bc299099-062a-4e78-b468-3aed5f501c23'}",SUCCESS,True,0,0,0.92,bc299099-062a-4e78-b468-3aed5f501c23,tool
handoff-11,a64ce993-5664-4bf6-960c-41c9f9c373b7,A2_INITIAL_ENGRAM_MEMORY,11,"{'tool': 'tool-b', 'sourceMemoryId': '457b2b82-d143-4f66-89eb-a21415fbc88f'}",SUCCESS,True,0,0,0.9,457b2b82-d143-4f66-89eb-a21415fbc88f,handoff
handoff-11,2bceeb42-1e6e-460e-932e-f641cc772271,A5_EVALUATED_UPDATED_MEMORY,11,"{'tool': 'tool-b', 'sourceMemoryId': 'c9396848-a4b2-4bd6-9c97-79b684331169'}",SUCCESS,True,0,0,0.92,c9396848-a4b2-4bd6-9c97-79b684331169,handoff
tool-12,c2290504-bd0e-47ed-98bd-031a4c055f87,A0_NO_MEMORY,12,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-12,760677a1-0be6-4863-9cd3-6b684b3db4f7,A1_RAW_HISTORY,12,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-12,f211c215-443c-4406-b1cd-3161609e3dd9,A2_INITIAL_ENGRAM_MEMORY,12,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '859187f0-0e34-4713-998a-acebf59b5b9f'}",SUCCESS,True,0,0,0.9,859187f0-0e34-4713-998a-acebf59b5b9f,tool
tool-12,c258644f-4dc9-456b-9845-71e9fd93cab3,A3_IRRELEVANT_MEMORY,12,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-12,c17a539d-98ac-415f-ad39-320a8a731579,A4_STALE_OR_CONTRADICTORY,12,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-12,b38bcea2-2cda-4efb-ae33-7e264941f334,A5_EVALUATED_UPDATED_MEMORY,12,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'd56f7df7-a1cd-4fee-9e2f-095556223783'}",SUCCESS,True,0,0,0.92,d56f7df7-a1cd-4fee-9e2f-095556223783,tool
handoff-12,6e6d3cfd-86a1-482a-ad2a-dc9c891c2800,A2_INITIAL_ENGRAM_MEMORY,12,"{'tool': 'tool-b', 'sourceMemoryId': '27f8849d-ac12-4255-952f-05a89f1a2e73'}",SUCCESS,True,0,0,0.9,27f8849d-ac12-4255-952f-05a89f1a2e73,handoff
handoff-12,639916aa-3a53-4bfb-8749-58a40a58d785,A5_EVALUATED_UPDATED_MEMORY,12,"{'tool': 'tool-b', 'sourceMemoryId': 'a1609c0b-206f-4186-a93f-b18c7ac62ed6'}",SUCCESS,True,0,0,0.92,a1609c0b-206f-4186-a93f-b18c7ac62ed6,handoff
tool-13,6dbf0b1c-b221-4957-96b3-ce2e8a099978,A0_NO_MEMORY,13,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-13,b4c552b3-c2fd-4e1d-a636-ec684475149b,A1_RAW_HISTORY,13,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-13,02b2f85b-c49a-4c00-ab94-213fed4a1810,A2_INITIAL_ENGRAM_MEMORY,13,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '5a2c23a2-b199-4a05-9054-82e3c34ef1c3'}",SUCCESS,True,0,0,0.9,5a2c23a2-b199-4a05-9054-82e3c34ef1c3,tool
tool-13,525cf3e7-9659-4e8a-bd69-7a7b471985ea,A3_IRRELEVANT_MEMORY,13,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-13,a8fa8e01-bd9b-4f42-b4b0-2212e9bbed21,A4_STALE_OR_CONTRADICTORY,13,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-13,960080c4-0c85-420b-8096-2c2da506895d,A5_EVALUATED_UPDATED_MEMORY,13,"{'tool': 'tool-b', 'influenced': True, 'memoryId': 'e5436f66-2f8f-49cf-adf9-5433d32fdf6b'}",SUCCESS,True,0,0,0.92,e5436f66-2f8f-49cf-adf9-5433d32fdf6b,tool
handoff-13,8942de84-2034-4584-ac20-3361b31463cd,A2_INITIAL_ENGRAM_MEMORY,13,"{'tool': 'tool-b', 'sourceMemoryId': 'ed879627-4aba-4921-a3a0-78e41044aee4'}",SUCCESS,True,0,0,0.9,ed879627-4aba-4921-a3a0-78e41044aee4,handoff
handoff-13,85191549-2a07-4277-946c-87518b5d4fe6,A5_EVALUATED_UPDATED_MEMORY,13,"{'tool': 'tool-b', 'sourceMemoryId': 'e657bf4d-9dfb-4fc4-b65e-441c2f0f07e8'}",SUCCESS,True,0,0,0.92,e657bf4d-9dfb-4fc4-b65e-441c2f0f07e8,handoff
tool-14,c94fa420-4e95-4981-a0c1-08197d52dbd9,A0_NO_MEMORY,14,{'tool': 'tool-a'},FAILURE,False,1,0,-1.0,,tool
tool-14,f5ee5c2c-3c01-4df2-b29c-473a47f4b902,A1_RAW_HISTORY,14,{'tool': 'tool-b'},SUCCESS,False,0,0,0.85,,tool
tool-14,1aab2af6-8515-4f55-aade-64089090c602,A2_INITIAL_ENGRAM_MEMORY,14,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '963e97ae-c328-4e4b-ac3f-efe80478599e'}",SUCCESS,True,0,0,0.9,963e97ae-c328-4e4b-ac3f-efe80478599e,tool
tool-14,1df17246-a069-4160-917d-4580efd04fbf,A3_IRRELEVANT_MEMORY,14,"{'tool': 'tool-a', 'influenced': False}",SUCCESS,False,0,0,0.95,,tool
tool-14,d38b681d-c812-47d9-b5d3-64862e4cf236,A4_STALE_OR_CONTRADICTORY,14,"{'tool': 'tool-a', 'influenced': False}",NEUTRAL,False,0,0,0.0,,tool
tool-14,f424b59f-626a-4902-a7dd-126feb11cf3d,A5_EVALUATED_UPDATED_MEMORY,14,"{'tool': 'tool-b', 'influenced': True, 'memoryId': '99cfbb31-afe9-4fba-8279-2bba18455b77'}",SUCCESS,True,0,0,0.92,99cfbb31-afe9-4fba-8279-2bba18455b77,tool
handoff-14,a6dce78e-c279-48c3-9ed1-4729962effd0,A2_INITIAL_ENGRAM_MEMORY,14,"{'tool': 'tool-b', 'sourceMemoryId': '5264dd1a-35ae-4fc5-b738-9e08f098e7ce'}",SUCCESS,True,0,0,0.9,5264dd1a-35ae-4fc5-b738-9e08f098e7ce,handoff
